year,month,hadcrut4,gistemp,berkeley,cowtan_way
1865,6,-0.393,,-0.54,-0.331
1865,7,-0.244,,-0.444,-0.373
1865,8,-0.318,,-0.453,-0.342
1865,9,-0.193,,-0.489,-0.288
1865,10,-0.378,,-0.459,-0.367
1865,11,-0.308,,-0.453,-0.477
1865,12,-0.45,,-0.752,-0.538
1866,1,-0.071,,-0.234,-0.343
1866,2,-0.324,,-0.616,-0.455
1866,3,-0.704,,-0.718,-0.688
1866,4,-0.373,,-0.783,-0.659
1866,5,-0.638,,-0.597,-0.643
1866,6,-0.01,,-0.466,-0.169
1866,7,-0.09,,-0.125,-0.113
1866,8,-0.381,,-0.455,-0.34
1866,9,-0.34,,-0.601,-0.505
1866,10,-0.533,,-0.593,-0.513
1866,11,-0.417,,-0.393,-0.362
1866,12,-0.442,,-0.224,-0.35
1867,1,-0.421,,-0.431,-0.431
1867,2,-0.101,,-0.638,-0.533
1867,3,-0.822,,-0.603,-0.816
1867,4,-0.374,,-0.469,-0.563
1867,5,-0.654,,-0.719,-0.719
1867,6,-0.412,,-0.517,-0.511
1867,7,-0.355,,-0.488,-0.419
1867,8,-0.342,,-0.577,-0.506
1867,9,-0.211,,-0.438,-0.27
1867,10,-0.294,,-0.258,-0.283
1867,11,-0.422,,-0.002,-0.217
1867,12,-0.736,,-0.399,-0.483
1868,1,-0.808,,-0.749,-0.822
1868,2,-0.579,,-0.898,-0.846
1868,3,-0.187,,-0.586,-0.499
1868,4,-0.489,,-0.388,-0.431
1868,5,-0.185,,-0.34,-0.309
1868,6,-0.286,,-0.334,-0.282
1868,7,0.03,,-0.135,-0.042
1868,8,-0.149,,-0.282,-0.195
1868,9,-0.31,,-0.488,-0.343
1868,10,-0.346,,-0.235,-0.256
1868,11,-0.613,,-0.573,-0.449
1868,12,-0.239,,-0.366,-0.274
1869,1,-0.357,,-0.424,-0.457
1869,2,0.15,,-0.286,-0.062
1869,3,-0.699,,-0.694,-0.774
1869,4,-0.329,,-0.531,-0.483
1869,5,-0.389,,-0.433,-0.435
1869,6,-0.484,,-0.467,-0.436
1869,7,-0.401,,-0.482,-0.485
1869,8,-0.192,,-0.439,-0.248
1869,9,-0.304,,-0.314,-0.317
1869,10,-0.525,,-0.437,-0.365
1869,11,-0.479,,-0.43,-0.351
1869,12,-0.466,,-0.656,-0.622
1870,1,-0.19,,-0.549,-0.379
1870,2,-0.561,,-0.738,-0.657
1870,3,-0.508,,-0.594,-0.581
1870,4,-0.314,,-0.515,-0.455
1870,5,-0.276,,-0.467,-0.442
1870,6,-0.324,,-0.368,-0.315
1870,7,-0.09,,-0.345,-0.153
1870,8,-0.367,,-0.54,-0.419
1870,9,-0.372,,-0.459,-0.334
1870,10,-0.511,,-0.588,-0.479
1870,11,-0.278,,-0.576,-0.451
1870,12,-0.828,,-0.817,-0.801
1871,1,-0.636,,-0.757,-0.7
1871,2,-0.656,,-0.803,-0.704
1871,3,-0.105,,-0.487,-0.377
1871,4,-0.247,,-0.3,-0.331
1871,5,-0.417,,-0.503,-0.51
1871,6,-0.33,,-0.435,-0.343
1871,7,-0.121,,-0.373,-0.177
1871,8,-0.329,,-0.423,-0.327
1871,9,-0.561,,-0.627,-0.481
1871,10,-0.588,,-0.493,-0.545
1871,11,-0.646,,-0.786,-0.665
1871,12,-0.669,,-0.628,-0.577
1872,1,-0.418,,-0.694,-0.697
1872,2,-0.513,,-0.659,-0.637
1872,3,-0.578,,-0.546,-0.594
1872,4,-0.258,,-0.565,-0.506
1872,5,-0.149,,-0.427,-0.281
1872,6,-0.313,,-0.51,-0.426
1872,7,-0.221,,-0.336,-0.198
1872,8,-0.135,,-0.263,-0.126
1872,9,-0.236,,-0.412,-0.272
1872,10,-0.335,,-0.426,-0.309
1872,11,-0.352,,-0.656,-0.439
1872,12,-0.534,,-0.73,-0.678
1873,1,-0.138,,-0.521,-0.353
1873,2,-0.452,,-0.315,-0.389
1873,3,-0.398,,-0.534,-0.497
1873,4,-0.632,,-0.711,-0.616
1873,5,-0.52,,-0.512,-0.454
1873,6,-0.365,,-0.46,-0.369
1873,7,-0.258,,-0.399,-0.299
1873,8,-0.267,,-0.38,-0.246
1873,9,-0.463,,-0.606,-0.48
1873,10,-0.509,,-0.458,-0.424
1873,11,-0.572,,-0.57,-0.527
1873,12,-0.38,,-0.446,-0.319
1874,1,-0.045,,-0.446,-0.339
1874,2,-0.543,,-0.55,-0.556
1874,3,-0.664,,-0.892,-0.816
1874,4,-0.612,,-0.631,-0.555
1874,5,-0.575,,-0.568,-0.485
1874,6,-0.565,,-0.575,-0.717
1874,7,-0.277,,-0.506,-0.326
1874,8,-0.471,,-0.431,-0.379
1874,9,-0.312,,-0.437,-0.283
1874,10,-0.541,,-0.575,-0.583
1874,11,-0.609,,-0.669,-0.575
1874,12,-0.512,,-0.534,-0.423
1875,1,-0.679,,-0.713,-0.672
1875,2,-0.705,,-0.659,-0.62
1875,3,-0.705,,-0.709,-0.719
1875,4,-0.574,,-0.639,-0.572
1875,5,-0.283,,-0.55,-0.415
1875,6,-0.341,,-0.561,-0.393
1875,7,-0.407,,-0.491,-0.337
1875,8,-0.288,,-0.512,-0.269
1875,9,-0.376,,-0.527,-0.295
1875,10,-0.471,,-0.45,-0.341
1875,11,-0.611,,-0.801,-0.61
1875,12,-0.614,,-0.694,-0.678
1876,1,-0.423,,-0.619,-0.631
1876,2,-0.387,,-0.569,-0.449
1876,3,-0.496,,-0.583,-0.497
1876,4,-0.406,,-0.555,-0.506
1876,5,-0.641,,-0.779,-0.678
1876,6,-0.39,,-0.584,-0.441
1876,7,-0.245,,-0.37,-0.161
